output_Ph,poly_output_WCW_gl,poly_output_feed_%,poly_output_glucose_gl,poly_input_Timepoint (hr)_sin,poly_output_WCW_gl^2,poly_output_WCW_gl output_phosphate_mmol_l,poly_output_WCW_gl output_agitation,poly_output_WCW_gl output_feed_%,poly_output_WCW_gl output_glycerol_gl,poly_output_WCW_gl input_Timepoint (hr)_sin,poly_output_WCW_gl input_Timepoint (hr)_cos,poly_output_phosphate_mmol_l output_agitation,poly_output_phosphate_mmol_l output_glycerol_gl,poly_output_phosphate_mmol_l output_glucose_gl,poly_output_agitation output_glucose_gl,poly_output_agitation input_Timepoint (hr)_sin,poly_output_agitation input_Timepoint (hr)_cos,poly_output_feed_% output_glucose_gl,poly_output_feed_% input_Timepoint (hr)_cos,poly_output_glycerol_gl^2,poly_output_glycerol_gl output_glucose_gl,poly_output_glycerol_gl input_Timepoint (hr)_sin,poly_output_glycerol_gl input_Timepoint (hr)_cos
-1.5291228744743541,0.24985070325431463,0.7755024223567202,-0.4330162768864818,0.49999999999999994,0.06242537391667559,-0.18291317271965024,0.006675104773563224,0.19375982560125107,-0.13117349004240347,0.1249253516271573,-0.2163770561716438,-0.01955878700860096,0.38435267159779335,0.31700683653444617,-0.01156862469958093,0.013358186882445671,-0.023137058377396012,-0.3358051716453549,-0.6716047984572889,0.27563286225360006,0.22733678770778754,-0.262503743903587,0.45466982161806174
-1.294201672496252,0.3967322350666421,0.7755024223567202,-0.4330162768864818,0.258819045102521,0.15739646634097337,-0.3950444416743792,0.010761419391170021,0.3076668093211767,-0.21611991636364564,0.10268185824133721,-0.38321391197225513,-0.02700974814643547,0.5424325823785322,0.4311741225408725,-0.011745629285696129,0.007020504119869455,-0.026200878070099402,-0.3358051716453549,-0.7490778181040889,0.2967526484860495,0.23588565100862993,-0.14099169524623953,0.5261881701042327
-1.483787607770525,0.44569274567075134,0.7755024223567202,-0.4330162768864818,1.2246467991473532e-16,0.19864202354353305,-0.4607996465868569,0.009577684893956311,0.3456358038944853,-0.24289566110664496,5.45816194388881e-17,-0.44569274567075134,-0.0222178254909296,0.5634569805461832,0.4476935047604519,-0.009305274753196476,2.631696670533287e-18,-0.021489434115743222,-0.3358051716453549,-0.7755024223567202,0.2970081613747982,0.2359871814516328,-6.67413586580514e-17,0.5449845515010477
-1.324288344648868,0.34165166063701935,0.7755024223567202,0.7752394151654116,-0.4999999999999997,0.11672585721603304,-0.35062528267041254,0.006635720366633854,0.2649516904262046,-0.18539379758344293,-0.1708258303185096,-0.2958790173567987,-0.019932612916833892,0.5568924849506888,-0.7956013987252522,0.015057067091782304,-0.009711236810998312,-0.016820355560982245,0.6012000443671838,-0.671604798457289,0.29445798045241983,-0.42067578113305343,0.2713199128576907,0.46993987417468097
-1.430073191362417,0.3232914691604784,0.15270882739138658,1.2691317424064152,-0.8660254037844385,0.10451737403194056,-0.3312347007948722,0.004142275703840102,0.049369461161135275,-0.1731718975453131,-0.2799786251197677,-0.16164573458023934,-0.01312763036844038,0.5488134599705178,-1.3003141532218763,0.01626115775709746,-0.01109622842297731,-0.006406410466995534,0.19380762018807096,-0.07635441369569336,0.2869236466874867,-0.6798136450622302,0.4638887097307014,0.2678262714370489
-1.3215413340315028,0.329411532985992,0.15270882739138658,1.7986464811804335,-1.0,0.1085119580641813,-0.3319198421029005,0.00915605097503745,0.0503040489314899,-0.17870547406522616,-0.329411532985992,-6.051191692102768e-17,-0.028006821074254548,0.5466300101189807,-1.812342302106752,0.04999369244446004,-0.02779517429775844,-5.105890685323898e-18,0.27466919503270765,-2.805215649996108e-17,0.29430531925327824,-0.9757641731043118,0.5424991421682418,9.965547569947833e-17
-1.195151989384315,0.21313032030123275,-0.27978672466787297,1.944984722256254,-0.8660254037844386,0.04542453343170606,-0.214572519274638,0.0049308088649190965,-0.05963103424449658,-0.11567298914923314,-0.1845762716975818,0.1065651601506164,-0.023291732468713033,0.5464061558517722,-1.9581459419539595,0.04499757658637495,-0.02003565580059212,0.01156759126986255,-0.5441809049691299,-0.1398933623339365,0.29455977657613713,-1.055608588937454,0.4700210978584928,-0.2713668073734043
-1.3696236113526576,0.15804974587160991,-0.5854169147897498,1.298014531127203,-0.5000000000000004,0.024979722170080477,-0.15952119712288276,0.0022598925314781648,-0.09252499461146187,-0.085741851555257,-0.07902487293580503,0.13687509498648884,-0.014431736251344284,0.5475498370438057,-1.3100991130761612,0.018559810573991014,-0.007149307703771847,0.01238296418187641,-0.7598796621647509,-0.5069859200130332,0.29430531925327824,-0.7041717696584203,0.2712495710841211,-0.46981803864896304
-1.4506776892960522,0.1274494267440417,-0.7964747441946685,0.5257893740011425,-2.4492935982947064e-16,0.01624335637738485,-0.12787965455170702,0.0030672578033244338,-0.10151024956371775,-0.06908741456617087,-3.121610650305115e-17,0.1274494267440417,-0.02414771055914653,0.5439069674598188,-0.5275642678978764,0.012653894187762357,-5.894585086749507e-18,0.024066469984870522,-0.4187779571578348,-0.7964747441946685,0.2938475731581785,-0.2850183746142477,1.3277059500588587e-16,-0.5420770915268219
0.6169772520274971,-1.592288508225293,-1.2889430128061454,-0.4330162768864818,0.0,2.5353826934263295,-2.462809744180379,-0.26578976644082825,2.052369147048512,-4.38739903214186,-0.0,-1.592288508225293,0.2581817839141605,4.261813853972537,-0.6697509280484276,-0.07228042814113604,0.0,0.16692312044446508,0.558133304524162,-1.2889430128061454,7.592254343751857,-1.1931350281682853,0.0,2.7554045698865814
