input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml) (Sample 1),output_Titre (mg/ml) Sample 2,output_Average Titre (mg/ml),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm2,28,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,86.4,222.5,1194.9420166015625,92.26786804199219,38.367069244384766,2.420088052749634,7.730759143829346,6.741159915924072,29.996660232543945,29.270000457763672,0.995,,,,,,,
5L Fermenter,5000ml,Ferm2,30,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,1195.0799560546875,93.755126953125,39.93632125854492,2.4398269653320312,6.224480152130127,6.715795993804932,29.990190505981445,14.300000190734863,0.486,,,,4.6,,,8.5
5L Fermenter,5000ml,Ferm2,32,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,151.0,225.0,1195.2850341796875,95.42771911621094,38.412559509277344,2.4400010108947754,4.573123931884766,6.7647881507873535,29.983970642089844,14.300000190734863,0.486,,,,,,,
5L Fermenter,5000ml,Ferm2,34,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,1194.7469482421875,96.66111755371094,40.368431091308594,2.4350368976593018,3.338421106338501,6.705371856689453,30.00259017944336,14.300000190734863,0.486,,,,0.0,,,0.012
5L Fermenter,5000ml,Ferm2,36,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,165.0,229.5,1194.3890380859375,97.67536926269531,40.52762985229492,2.4457390308380127,2.3239669799804688,6.708150863647461,30.008649826049805,14.300000190734863,0.486,,,,,,,
5L Fermenter,5000ml,Ferm2,38,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,1194.9410400390625,99.04737091064453,38.8901481628418,2.4402310848236084,0.9608420729637146,6.746025085449219,29.990089416503906,14.300000190734863,0.486,,,,0.0,,,0.011
5L Fermenter,5000ml,Ferm2,40,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,167.0,219.0,1195.0909423828125,98.98052978515625,40.300209045410156,2.4401540756225586,1.0179630517959595,6.727610111236572,30.0025691986084,14.300000190734863,0.486,,,,,,,
5L Fermenter,5000ml,Ferm2,42,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,1194.95703125,99.38443756103516,39.799869537353516,2.455034017562866,0.6157264709472656,6.703981876373291,30.008750915527344,14.300000190734863,0.486,,,,0.0,,,0.0128
5L Fermenter,5000ml,Ferm2,44,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,169.0,235.0,1195.10302734375,99.51937866210938,40.48215103149414,2.4399969577789307,0.480129212141037,6.721007823944092,30.008840560913086,14.300000190734863,0.486,,,,,,,
5L Fermenter,5000ml,Ferm2,46,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,,,1194.718017578125,100.0,45.690250396728516,2.5,0.0,6.838449954986572,29.996309280395508,10.0,0.34,,,,0.0,,,0.009
5L Fermenter,5000ml,Ferm2,48,1195,1,6.8,2.5,100,0-100%,30,Media type A,Glucose,0,159.0,202.5,1194.946044921875,100.0,43.757110595703125,2.5,0.0,6.7192702293396,29.977989196777344,10.0,0.34,2.21,2.21,2.21,1.2,,,0.007
