input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Feed %,output_Feed,output_Temp.1,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm1,14.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,45.3,118.5,1184.91198730469,93.9694519042969,38.8917083740234,4.92008399963379,6.03361892700195,6.7062611579895,19.65,0.6681,30.01,,,1.93532,3.07,12.6
5L Fermenter,5000ml,Ferm1,16.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,52.1,152.0,1184.8349609375,78.2704162597656,36.5940208435059,5.06901693344116,21.7341194152832,6.73965215682983,17.9,0.6086,30.03,,,4.3075,4.25,7.06
5L Fermenter,5000ml,Ferm1,18.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,64.0,186.5,1184.80798339844,93.4997711181641,40.9866600036621,4.98841714859009,6.4989972114563,6.7062611579895,17.9,0.6086,29.99,,,0.0,1.15,1.55
5L Fermenter,5000ml,Ferm1,20.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,71.6,197.5,1185.69396972656,88.9896469116211,37.7597618103027,4.97419214248657,11.0046997070312,6.81513023376465,17.9,0.6086,30.01,,,0.0,1.06,0.0
5L Fermenter,5000ml,Ferm1,24.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,95.0,217.0,1184.92797851562,82.8803405761719,40.2770805358887,4.97714710235596,17.1195697784424,6.7660870552063,17.9,0.6086,29.95,,,4.7078,2.9,0.0
5L Fermenter,5000ml,Ferm1,28.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,95.4,220.5,1185.25500488281,87.6579971313477,40.141918182373,5.07145500183105,12.3420000076294,6.76504278182983,17.9,0.6086,30.01,,,11.79471,2.8,0.0
5L Fermenter,5000ml,Ferm1,32.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,104.6,224.5,1185.34399414062,91.9401168823242,40.2770805358887,4.99696397781372,8.05614471435547,6.72469615936279,12.5,0.425,30.0,,,9.27313,1.75,0.0
5L Fermenter,5000ml,Ferm1,36.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,108.8,212.0,1185.39794921875,93.8991928100586,40.6149711608887,4.96090984344482,6.10088300704956,6.71078300476074,12.5,0.425,30.0,,,8.74359,1.38,0.0
5L Fermenter,5000ml,Ferm1,40.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,111.0,205.0,1184.90100097656,94.5438537597656,40.6656494140625,4.99649381637573,5.45544815063477,6.73095703125,12.5,0.425,30.0,,,9.12183,1.43,0.0
5L Fermenter,5000ml,Ferm1,44.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,111.0,211.5,1185.083984375,95.4157333374023,39.8716011047363,4.9795970916748,4.63173723220825,6.71217393875122,12.5,0.425,29.72,,,9.97287,1.5,0.0
5L Fermenter,5000ml,Ferm1,48.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,111.8,199.0,1185.35900878906,96.3050384521484,39.6012916564941,4.91970205307007,3.69330596923828,6.70312976837158,12.5,0.425,30.0,,,11.17062,1.67,0.0
