input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm2,16.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,49.3,143.0,1185.23,88.1,38.56,4.73,11.9,6.72,30.03,17.9,0.6086,,0.01,3.55543,2.43,5.13
5L Fermenter,5000ml,Ferm2,18.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,58.0,171.0,1185.27,98.25,35.26,4.95,1.74,6.71,30.0,17.9,0.6086,,0.0,0.0,0.91,2.51
5L Fermenter,5000ml,Ferm2,20.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,65.3,187.0,1185.43,99.03,39.09,4.99,0.97,6.77,29.99,17.9,0.6086,,0.0,0.0,0.66,0.36
5L Fermenter,5000ml,Ferm2,22.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,75.6,202.5,1185.49,95.76,39.11,4.88,4.26,6.72,30.02,17.9,0.6086,,0.0,0.0,0.72,0.0
5L Fermenter,5000ml,Ferm2,24.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,79.2,209.0,1185.18,94.21,40.09,4.84,5.8,6.69,30.0,17.9,0.6086,,0.0,0.0,0.99,0.0
5L Fermenter,5000ml,Ferm2,28.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,82.6,215.5,1185.45,94.73,40.59,4.82,5.27,6.7,30.01,17.9,0.6086,,0.01,0.59242,3.58,0.0
5L Fermenter,5000ml,Ferm2,32.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,96.6,215.5,1185.23,94.92,40.46,4.84,5.08,6.71,29.99,17.9,0.6086,,0.02,4.10252,1.77,0.0
5L Fermenter,5000ml,Ferm2,36.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,92.0,224.0,1184.83,96.65,39.68,4.88,3.35,6.73,29.98,12.5,0.425,,0.0,0.83563,2.6,0.0
5L Fermenter,5000ml,Ferm2,40.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,97.0,207.0,1184.38,98.05,39.45,4.94,1.95,6.7,30.01,12.5,0.425,,0.01,0.0,0.78,0.0
5L Fermenter,5000ml,Ferm2,44.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,99.6,209.5,1185.46,97.96,40.83,4.93,2.04,6.76,30.01,12.5,0.425,,0.01,0.0,0.67,0.0
5L Fermenter,5000ml,Ferm2,48.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,98.0,211.0,1185.32,97.43,39.17,4.89,2.57,6.76,30.0,12.5,0.425,,0.02,0.0,0.7,0.0
