input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation (rpm),input_DO (%),input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp (oC),input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp,output_Feed %,output_Titre sample 1,output_Titre sample 2,output_Titre (µg/µl),output_Feed,output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm3,20,1195,100,6.8,5,100,0,30,Media A,Glucose,0,54.13333333333333,140.5,1194.4300537109375,100.0,65.3994369506836,5.000878810882568,0.0,6.736653804779053,30.01,17.9,,,,0.6085999999999999,0.0,-0.039,0.59,16.76
5L Fermenter,5000ml,Ferm3,22,1195,100,6.8,5,100,0,30,Media A,Glucose,0,56.43333333333334,151.00000000000003,1195.3609619140625,100.0,66.73516082763672,5.000000953674316,0.0,6.771859169006348,30.02,17.9,,,,0.6085999999999999,0.0,-0.038299999999999994,0..39,14.64
5L Fermenter,5000ml,Ferm3,24,1195,100,6.8,5,100,0,30,Media A,Glucose,0,53.0,157.49999999999997,1194.5789794921875,100.0,65.01412963867188,5.018497943878174,0.0,6.796363830566406,29.97,17.9,,,,0.6085999999999999,0.0,-0.08658,1.8,13.06
5L Fermenter,5000ml,Ferm3,26,1195,100,6.8,5,100,0,30,Media A,Glucose,0,75.5,,1195.0880126953125,100.0,51.45132064819336,5.00470495223999,0.0,6.7318220138549805,30.02,22.4,,,,0.7615999999999999,0.0,-0.040920000000000005,0.49,9.99
5L Fermenter,5000ml,Ferm3,28,1195,100,6.8,5,100,0,30,Media A,Glucose,0,72.33333333333333,184.0,1194.6290283203125,100.0,44.644229888916016,5.008325099945068,0.0,6.701448917388916,30.0,22.4,,,,0.7615999999999999,0.0,-0.040920000000000005,0.51,8.03
5L Fermenter,5000ml,Ferm3,30,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1194.9639892578125,100.0,47.70100021362305,5.000000953674316,0.0,6.711803913116455,30.02,19.1,,,,0.6494,0.0,-0.04156,,
5L Fermenter,5000ml,Ferm3,32,1195,100,6.8,5,100,0,30,Media A,Glucose,0,77.0,200.50000000000006,1194.5419921875,100.0,44.95248031616211,5.01973295211792,0.0,6.759434223175049,30.03,19.1,,,,0.6494,0.0,-0.039,0.67,5.1
5L Fermenter,5000ml,Ferm3,34,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1195.2060546875,100.0,45.49190902709961,5.000000953674316,0.0,6.749424934387207,30.01,19.1,,,,0.6494,0.0,-0.03964,,
5L Fermenter,5000ml,Ferm3,36,1195,100,6.8,5,100,0,30,Media A,Glucose,0,76.66666666666667,202.0,1195.1629638671875,100.0,39.86642074584961,5.000000953674316,0.007091522216796875,6.743902206420898,29.99,19.1,,,,0.6494,0.0,-0.04156,0.51,2.12
5L Fermenter,5000ml,Ferm3,38,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1194.8050537109375,99.89544677734375,39.63523864746094,5.000000953674316,0.10501480102539062,6.781177997589111,30.02,19.1,,,,0.6494,0.0,-0.04348,,
5L Fermenter,5000ml,Ferm3,40,1195,100,6.8,5,100,0,30,Media A,Glucose,0,73.33333333333333,218.99999999999997,1195.4649658203125,99.50377655029297,36.50141143798828,4.989696979522705,0.5108718872070312,6.773240089416504,30.01,19.1,,,,0.6494,0.0,-0.04159,0.37,-0.14
5L Fermenter,5000ml,Ferm3,44,1195,100,6.8,5,100,0,30,Media A,Glucose,0,74.0,209.00000000000003,1194.822021484375,97.74250793457031,39.94348907470703,4.9595842361450195,2.257622003555298,6.701448917388916,29.98,19.1,0.14,0.14,0.14,0.6494,0.0,-0.0422,0.48,
5L Fermenter,5000ml,Ferm3,48,1195,100,6.8,5,100,0,30,Media A,Glucose,0,80.66666666666667,225.00000000000003,1195.781005859375,99.34483337402344,39.55818176269531,4.959910869598389,0.6557235717773438,6.704901218414307,29.97,17.4,0.19,0.21,0.2,0.5916,0.0,-0.04348,0.94,
