iter	Passed	Remaining
716	2073	818
717	2076	815
718	2079	812
719	2082	809
720	2085	807
721	2089	804
722	2093	801
723	2095	798
724	2098	795
725	2100	792
726	2102	789
727	2105	786
728	2107	783
729	2109	780
730	2111	777
731	2113	773
732	2116	770
733	2118	767
734	2121	764
735	2123	761
736	2126	758
737	2128	755
738	2130	752
739	2133	749
740	2135	746
741	2139	743
742	2142	741
743	2145	738
744	2148	735
745	2152	732
746	2156	730
747	2160	727
748	2164	725
749	2168	722
750	2171	720
751	2174	717
752	2177	714
753	2180	711
754	2184	708
755	2188	706
756	2190	703
757	2193	700
758	2195	697
759	2198	694
760	2202	691
761	2205	688
762	2208	686
763	2211	683
764	2214	680
765	2217	677
766	2219	674
767	2221	671
768	2226	668
769	2230	666
770	2233	663
771	2236	660
772	2239	657
773	2242	654
774	2246	652
775	2249	649
776	2252	646
777	2254	643
778	2257	640
779	2259	637
780	2261	634
781	2264	631
782	2266	628
783	2268	625
784	2270	621
785	2272	618
786	2275	615
787	2277	612
788	2279	609
789	2282	606
790	2284	603
791	2286	600
792	2288	597
793	2290	594
794	2293	591
795	2296	588
796	2298	585
797	2301	582
798	2303	579
799	2306	576
800	2310	573
801	2312	570
802	2314	567
803	2317	564
804	2320	562
805	2325	559
806	2328	556
807	2331	554
808	2336	551
809	2343	549
810	2348	547
811	2352	544
812	2356	542
813	2360	539
814	2363	536
815	2366	533
816	2371	531
817	2373	528
818	2376	525
819	2378	522
820	2380	519
821	2383	516
822	2386	513
823	2389	510
824	2391	507
825	2394	504
826	2396	501
827	2398	498
828	2402	495
829	2404	492
830	2407	489
831	2409	486
832	2412	483
833	2415	480
834	2417	477
835	2419	474
836	2421	471
837	2423	468
838	2426	465
839	2427	462
840	2429	459
841	2432	456
842	2434	453
843	2436	450
844	2438	447
845	2440	444
846	2442	441
847	2444	438
848	2447	435
849	2449	432
850	2451	429
851	2453	426
852	2455	423
853	2458	420
854	2460	417
855	2462	414
856	2464	411
857	2466	408
858	2468	405
859	2471	402
860	2473	399
861	2475	396
862	2479	393
863	2481	390
864	2483	387
865	2486	384
866	2488	381
867	2490	378
868	2493	375
869	2496	373
870	2498	370
871	2500	367
872	2502	364
873	2505	361
874	2508	358
875	2510	355
876	2512	352
877	2514	349
878	2516	346
879	2518	343
880	2520	340
881	2522	337
882	2526	334
883	2528	331
884	2531	328
885	2533	326
886	2535	323
887	2537	320
888	2542	317
889	2545	314
890	2547	311
891	2550	308
892	2553	305
893	2556	303
894	2558	300
895	2560	297
896	2562	294
897	2564	291
898	2567	288
899	2569	285
900	2572	282
901	2574	279
902	2577	276
903	2578	273
904	2581	271
905	2583	268
906	2586	265
907	2588	262
908	2590	259
909	2592	256
910	2594	253
911	2596	250
912	2598	247
913	2600	244
914	2603	241
915	2605	238
916	2607	236
917	2609	233
918	2611	230
919	2613	227
920	2615	224
921	2618	221
922	2620	218
923	2621	215
924	2623	212
925	2625	209
926	2627	206
927	2629	204
928	2631	201
929	2634	198
930	2637	195
931	2639	192
932	2641	189
933	2643	186
934	2645	183
935	2648	181
936	2650	178
937	2652	175
938	2654	172
939	2656	169
940	2658	166
941	2660	163
942	2662	160
943	2664	158
944	2666	155
945	2669	152
946	2671	149
947	2673	146
948	2675	143
949	2677	140
950	2679	138
951	2681	135
952	2684	132
953	2686	129
954	2688	126
955	2690	123
956	2692	120
957	2694	118
958	2696	115
959	2698	112
960	2700	109
961	2702	106
962	2704	103
963	2706	101
964	2707	98
965	2710	95
966	2712	92
967	2714	89
968	2716	86
969	2718	84
970	2720	81
971	2722	78
972	2724	75
973	2726	72
974	2728	69
975	2729	67
976	2731	64
977	2733	61
978	2735	58
979	2737	55
980	2739	53
981	2741	50
982	2743	47
983	2745	44
984	2747	41
985	2749	39
986	2750	36
987	2752	33
988	2754	30
989	2756	27
990	2759	25
991	2761	22
992	2763	19
993	2765	16
994	2767	13
995	2768	11
996	2770	8
997	2772	5
998	2774	2
999	2776	0
