input_Timepoint (hr),output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
24.0,79.2,209.0,1185.18,94.21,40.09,4.84,5.8,6.69,17.9,0.6086,30.0,0.0,0.0,0.99,0.0
28.0,82.6,215.5,1185.45,94.73,40.59,4.82,5.27,6.7,17.9,0.6086,30.01,0.01,0.59242,3.58,0.0
32.0,96.6,215.5,1185.23,94.92,40.46,4.84,5.08,6.71,17.9,0.6086,29.99,0.02,4.10252,1.77,0.0
36.0,92.0,224.0,1184.83,96.65,39.68,4.88,3.35,6.73,12.5,0.425,29.98,0.0,0.83563,2.6,0.0
40.0,97.0,207.0,1184.38,98.05,39.45,4.94,1.95,6.7,12.5,0.425,30.01,0.01,0.0,0.78,0.0
44.0,99.6,209.5,1185.46,97.96,40.83,4.93,2.04,6.76,12.5,0.425,30.01,0.01,0.0,0.67,0.0
48.0,98.0,211.0,1185.32,97.43,39.17,4.89,2.57,6.76,12.5,0.425,30.0,0.02,0.0,0.7,0.0
0.0,0.322,61.685,1185.31,100.0,97.25,5.01,0.0,6.75,0.0,0.0,30.01,4.74,0.24,1.3,18.02
2.0,0.521,58.155,1185.06,100.0,91.32,5.0,0.0,6.84,0.0,0.0,29.99,4.521300000000002,0.19931079999999995,6.1854000000000005,21.092100000000006
4.0,1.7,55.035,1184.75,100.0,86.35,5.0,0.0,6.87,0.0,0.0,29.98,4.7002000000000015,0.08663100000000004,7.3798999999999975,21.464200000000016
6.0,4.45,60.63,1184.76,100.0,74.17,5.0,0.0,6.74,0.0,0.0,30.01,4.680300000000002,-0.004104399999999999,6.387900000000003,21.521600000000014
8.0,11.12,55.654999999999994,1184.69,100.0,54.39,5.0,0.0,6.73,0.0,0.0,30.0,0.0,0.0,17.36,11.64
