input_Timepoint (hr),output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
16.0,50.8,152.0,1184.77,84.26,30.71,5.08,15.74,6.71,17.9,0.6086,30.12,0.01,2.90143,2.4,5.31
18.0,60.8,179.5,1184.85,95.78,39.06,4.89,4.02,6.72,17.9,0.6086,30.0,0.0,0.0,0.65,1.16
20.0,67.6,193.5,1185.56,93.61,40.43,5.04,6.39,6.72,17.9,0.6086,29.99,0.0,0.0,0.45,0.0
22.0,77.6,208.0,1185.27,91.34,40.94,5.21,8.66,6.7,17.9,0.6086,30.0,0.0,0.0,0.81,0.0
24.0,81.4,208.5,1185.13,92.62,39.54,5.3,7.38,6.76,17.9,0.6086,29.98,0.01,0.0,1.72,0.0
28.0,86.8,213.5,1185.07,89.96,40.31,5.0,10.04,6.7,17.9,0.6086,29.98,0.01,1.16514,3.22,0.0
32.0,98.4,214.5,1185.48,91.99,40.4,5.22,8.01,6.74,17.9,0.6086,29.98,0.0,5.11541,1.66,0.0
36.0,94.0,219.0,1184.78,95.45,40.26,5.0,4.55,6.7,12.5,0.425,30.01,0.01,1.96607,2.15,0.0
40.0,97.6,204.0,1184.98,97.35,39.78,5.0,2.63,6.73,12.5,0.425,29.93,0.01,0.0,1.38,0.0
44.0,99.6,202.0,1184.78,99.1,40.51,5.0,0.9,6.73,12.5,0.425,30.02,0.0,0.0,0.66,0.0
48.0,103.2,204.0,1185.3,99.35,40.25,5.0,0.65,6.74,12.5,0.425,29.97,0.02,0.0,0.67,0.0
0.0,0.233,,1185.15600585937,100.0,97.1348266601562,5.00000095367432,0.0,6.39840602874756,0.0,0.0,30.08,,,,
2.0,0.412,,1184.75402832031,100.0,84.0090866088867,5.00000095367432,0.0,6.38707113265991,0.0,0.0,30.01,,,,
4.0,1.35,,1185.18200683594,100.0,78.1165466308594,5.00000095367432,0.0,6.39428377151489,0.0,0.0,30.01,,,,
6.0,3.59,,1185.13000488281,100.0,70.3319320678711,5.00000095367432,0.0,6.2537989616394,0.0,0.0,30.01,,,,
8.0,7.82,,1185.125,100.0,58.1576385498047,5.00000095367432,0.0,6.21498489379883,0.0,0.0,30.01,,,,
9.75,15.2,47.9999999999999,1185.083984375,100.0,48.9890785217285,5.00000095367432,0.0,6.39943599700928,0.0,0.0,30.0,,0.0,10.57,27.43
12.0,26.9,75.0,1184.81994628906,100.0,47.3240394592285,5.00000095367432,0.0,6.26925611495972,10.9,0.3706,30.0,,0.0,0.5,23.86
14.0,38.1,105.5,1184.84802246094,98.0302581787109,39.3772315979004,4.99994993209839,1.97052001953125,6.22357177734375,16.39,0.55726,30.01,,0.0,0.52,17.69
16.0,43.5,135.5,1184.92602539062,87.7060089111328,31.7656002044678,5.05999898910522,12.3064498901367,6.30085706710815,24.37,0.82858,30.06,,4.83577,2.51,14.0
18.0,51.6,175.5,1184.87805175781,90.7597732543945,42.0261688232422,5.03999996185303,9.23785781860352,6.22975492477417,17.9,0.6086,29.98,,0.0,3.77,5.83
20.0,60.3,189.5,1184.98400878906,93.9065093994141,37.5608215332031,5.02557706832886,6.11059617996216,6.34379196166992,17.9,0.6086,30.02,,0.0,0.82,0.01
22.0,69.0,203.5,1185.15698242187,88.3426818847656,39.4745407104492,5.04087591171265,11.6536502838135,6.27853012084961,17.9,0.6086,30.0,,0.0,1.09,0.08
24.0,80.2,206.5,1184.98596191406,89.2131881713867,39.571849822998,5.03999996185303,10.7874097824097,6.25311183929443,17.9,0.6086,30.0,,2.07337,1.74,0.0
28.0,86.4,198.0,1185.91003417969,93.9722518920898,39.7232093811035,5.00017213821411,6.02917909622192,6.19678020477295,17.9,0.6086,26.0,,14.51172,1.25,0.01
32.0,90.8,193.5,1186.30798339844,92.9405670166016,40.1448783874512,5.0837869644165,7.0597882270813,6.223228931427,12.5,0.425,25.99,,16.29574,1.62,0.0
36.0,88.8,190.0,1184.81896972656,93.405158996582,40.0583801269531,4.9842209815979,6.5947527885437,6.25585985183716,12.5,0.425,26.01,,18.36344,2.61,0.04
40.0,92.8,179.0,1185.16796875,94.7373275756836,40.3935585021973,4.94687795639038,5.26217985153198,6.24211978912354,8.75,0.2975,25.99,,17.85282,2.24,0.02
44.0,93.6,184.0,1184.97900390625,98.0489883422852,40.609790802002,4.98027801513672,1.94754004478455,6.23112916946411,6.12,0.20808,26.0,,11.57407,3.69,0.01
48.0,97.0,186.0,1184.60705566406,99.7067413330078,39.8529586791992,4.99999904632568,0.293384611606598,6.23353290557861,4.27,0.14518,26.0,,4.37495,5.26,0.0
0.0,0.232,,1185.23901367187,100.0,96.3794174194336,5.00000095367432,0.0,6.3892560005188,0.0,0.0,30.13,,,,
2.0,0.395,,1184.82897949219,100.0,82.7650375366211,5.00000095367432,0.0,6.39635419845581,0.0,0.0,30.01,,,,
4.0,1.41,,1184.77197265625,100.0,75.5858688354492,5.00000095367432,0.0,6.37979316711426,0.0,0.0,30.01,,,,
6.0,3.6,,1185.57397460937,100.0,65.8152465820312,5.00000286102295,0.0,6.22397899627686,0.0,0.0,30.04,,,,
8.0,7.86,,1185.43395996094,100.0,57.9045295715332,5.00000095367432,0.0,6.23411893844604,0.0,0.0,30.01,,,,
9.75,14.5,52.9999999999999,1184.78100585937,100.0,48.1339111328125,5.00000095367432,0.0,6.40176200866699,0.0,0.0,30.0,,0.0,9.7,26.21
12.0,26.9,73.5,1185.11401367187,100.0,47.4271507263184,5.00000095367432,0.0,6.24527311325073,10.89,0.37026,29.99,,0.0,0.41,22.67
14.0,38.8,106.0,1184.69799804687,97.7331314086914,38.4748916625977,5.14706516265869,2.27745389938354,6.22093677520752,16.39,0.55726,30.01,,0.0,0.48,18.34
16.0,41.9,133.0,1185.02905273437,91.3020629882812,34.4699287414551,4.91948080062866,8.70479965209961,6.22871112823486,24.37,0.82858,30.04,,4.16566,2.31,13.68
18.0,52.2,166.5,1185.22094726562,93.2139892578125,43.5833892822266,5.01999998092651,6.78121900558472,6.1851110458374,17.9,0.6086,29.97,,0.0,1.7,5.97
20.0,58.1,181.0,1184.88000488281,96.0534286499023,40.9299392700195,5.00368690490723,3.94533205032349,6.25980615615845,17.9,0.6086,30.01,,0.0,0.78,0.48
22.0,68.7,198.5,1185.3310546875,91.2608337402344,38.6608810424805,5.02111482620239,8.74093627929687,6.31320905685425,17.9,0.6086,30.04,,0.0,0.54,0.0
24.0,80.8,203.5,1184.68798828125,91.0148010253906,40.5207710266113,5.00000095367432,8.98516845703125,6.23851299285889,17.9,0.6086,30.02,,0.46271,1.6,0.0
28.0,85.4,199.5,1185.16198730469,94.5665588378906,40.1115989685059,5.00656318664551,5.43330383300781,6.25034189224243,17.9,0.6086,26.01,,10.6663,1.14,0.01
32.0,88.8,193.5,1184.6669921875,93.6624069213867,39.752010345459,5.006591796875,6.33790588378906,6.25913000106812,12.5,0.425,25.98,,11.42278,1.63,0.0
36.0,85.2,186.0,1184.98706054687,94.2826995849609,39.925609588623,4.99499893188477,5.71740293502808,6.2273588180542,12.5,0.425,25.98,,11.97122,2.96,0.08
40.0,90.0,180.0,1185.10595703125,95.8346710205078,40.1983909606934,4.99999094009399,4.16693878173828,6.21552896499634,8.75,0.2975,25.98,,11.42278,2.55,0.0
44.0,91.0,183.5,1185.13696289062,98.8924865722656,40.5207710266113,4.99999904632568,1.10623204708099,6.21992301940918,6.1,0.2074,26.0,,5.72589,5.77,0.0
48.0,82.0,188.0,1184.45397949219,97.7440872192383,38.6112785339355,4.98000001907349,2.25950598716736,6.27873420715332,4.27,0.14518,26.0,,0.31961,5.38,0.26
0.0,0.245,,1184.07604980469,100.0,98.7794799804687,5.00000095367432,0.0,6.39339876174927,0.0,0.0,30.07,,,,
2.0,0.415,,1184.84899902344,100.0,96.3833770751953,5.00000095367432,0.0,6.39095401763916,0.0,0.0,30.02,,,,
4.0,1.39,,1184.53295898437,100.0,93.8000717163086,5.00000095367432,0.0,6.38397121429443,0.0,0.0,30.02,,,,
6.0,3.63,,1184.98596191406,100.0,82.6806411743164,5.00000095367432,0.0,6.25581312179565,0.0,0.0,30.01,,,,
8.0,7.7,,1185.15295410156,100.0,65.1141891479492,5.00000095367432,0.0,6.21146392822266,0.0,0.0,30.01,,,,
9.75,14.8,48.0,1185.17297363281,100.0,49.2474708557129,5.00000095367432,0.0,6.39130401611328,0.0,0.0,29.99,,0.0,11.0,27.43
12.0,27.8,75.5,1185.03100585937,100.0,45.1815795898438,5.00000095367432,0.0,6.20517921447754,10.89,0.37026,29.99,,0.0,0.39,23.43
14.0,39.3,108.5,1184.91394042969,98.2327194213867,44.7098503112793,5.00000095367432,1.76140201091766,6.21076583862305,16.39,0.55726,29.99,,0.0,0.63,17.21
16.0,44.3,137.5,1184.48095703125,88.798713684082,35.5222702026367,5.01999998092651,11.2069101333618,6.25266981124878,24.39,0.82926,30.07,,5.5935,2.4,13.54
18.0,54.1,177.5,1184.67797851562,89.7648620605469,42.7929611206055,5.00972604751587,10.231650352478,6.31133699417114,17.9,0.6086,30.02,,0.17903,8.58,5.25
20.0,61.1,190.5,1185.1650390625,95.4686584472656,41.168098449707,5.01999998092651,4.52763414382935,6.29422616958618,17.9,0.6086,29.99,,0.0,0.95,0.06
22.0,71.1,205.5,1184.93896484375,91.5447463989258,40.0374412536621,5.04000091552734,8.4668083190918,6.20098781585693,17.9,0.6086,30.0,,0.87877,1.27,0.09
24.0,83.0,201.5,1184.68298339844,91.648193359375,41.1531295776367,5.04164123535156,8.35023880004883,6.23311519622803,17.9,0.6086,29.99,,4.64917,1.61,0.0
28.0,84.4,194.0,1184.68798828125,96.431770324707,39.0939712524414,4.95921993255615,3.5697751045227,6.30190801620483,17.9,0.6086,26.0,,19.70619,1.11,0.01
32.0,87.6,188.5,1184.63000488281,96.1704406738281,40.284538269043,4.99035978317261,3.82922697067261,6.24987697601318,12.5,0.425,26.0,,23.8668,1.54,0.0
36.0,87.6,184.0,1185.11999511719,96.6858673095703,39.9925117492676,4.8612961769104,3.31420207023621,6.21216297149658,12.5,0.425,26.01,,27.54201,3.01,0.02
40.0,90.4,180.0,1185.11499023437,97.3096237182617,40.3219795227051,4.92020797729492,2.69335198402405,6.2439398765564,8.75,0.2975,26.01,,28.67041,1.96,0.01
44.0,95.2,182.0,1185.0419921875,98.214973449707,40.0823707580566,4.94006395339966,1.78493499755859,6.25441598892212,6.1,0.2074,25.99,,22.32233,2.91,0.03
48.0,99.6,182.5,1184.91003417969,99.4445114135742,39.925121307373,4.96446514129639,0.555599212646484,6.25371789932251,4.27,0.14518,25.99,,14.60628,3.9,0.04
0.0,0.251,,1184.98303222656,100.0,96.3406524658203,5.00000095367432,0.0,6.36579418182373,0.0,0.0,30.09,,,,
2.0,0.43,,1185.19201660156,100.0,84.0452423095703,5.00000095367432,0.0,6.38389301300049,0.0,0.0,30.01,,,,
4.0,1.39,,1185.35595703125,100.0,77.4850311279297,5.00000095367432,0.0,6.33983993530273,0.0,0.0,30.01,,,,
6.0,3.63,,1185.44604492187,100.0,67.9840316772461,5.00000095367432,0.0,6.29886198043823,0.0,0.0,30.01,,,,
8.0,7.54,,1185.28894042969,100.0,55.6220893859863,5.00000095367432,0.0,6.22612380981445,0.0,0.0,30.01,,,,
9.75,14.3,52.0000000000002,1185.02600097656,100.0,52.1623382568359,5.00000095367432,0.0,6.26027297973633,0.0,0.0,29.97,,0.0,12.14,30.01
12.0,25.7,73.5,1184.75903320312,100.0,49.1417198181152,5.00000095367432,0.0,6.22305107116699,10.89,0.37026,30.01,,0.0,0.45,25.47
14.0,37.1,104.5,1184.73400878906,94.5497665405273,37.1124382019043,5.17554187774658,5.45249891281128,6.25719976425171,16.39,0.55726,30.01,,0.0,0.44,19.09
16.0,44.0,130.0,1185.34802246094,80.6040267944336,37.2987403869629,2.31953406333923,19.3988609313965,6.33096218109131,24.39,0.82926,29.99,,2.74916,1.76,15.53
18.0,47.4,155.5,1185.50500488281,84.2769470214844,40.931468963623,2.95490503311157,15.7214202880859,6.51980590820312,17.9,0.6086,30.0,,0.0,0.87,8.21
20.0,52.0,150.5,1185.25695800781,88.8878173828125,37.817699432373,5.00000381469727,11.114800453186,6.19675588607788,17.9,0.6086,30.0,,0.0,0.54,3.56
22.0,54.3,162.5,1185.28503417969,85.1463928222656,36.1543617248535,5.01999092102051,14.8570899963379,6.25515079498291,17.9,0.6086,30.0,,0.0,0.44,0.45
24.0,58.0,166.5,1184.89794921875,79.2256164550781,37.9374618530273,5.06182909011841,20.7769908905029,6.2080249786377,17.9,0.6086,30.0,,0.0,0.61,0.0
28.0,56.0,158.0,1184.75598144531,92.1765289306641,40.0,5.00415277481079,7.82335710525513,6.24767208099365,17.9,0.6086,26.02,,7.91147,0.73,0.09
32.0,56.8,156.5,1184.30200195312,91.8139038085937,40.2129096984863,5.04003715515137,8.18585586547852,6.22137689590454,12.5,0.425,26.01,,11.1454,1.08,0.11
36.0,54.2,157.0,1185.3310546875,94.3031616210937,40.0532302856445,5.05313777923584,5.69743299484253,6.2483549118042,12.5,0.425,26.0,,14.61258,2.38,0.31
40.0,53.8,147.5,1185.01098632812,96.0808334350586,39.9600791931152,5.01946210861206,3.93119406700134,6.27977180480957,8.75,0.2975,25.95,,15.57078,1.26,0.32
44.0,53.8,143.0,1184.40405273437,100.0,41.5834999084473,5.00000095367432,0.0,6.23640298843384,6.1,0.2074,25.99,,11.33452,1.43,0.29
48.0,59.6,140.5,1185.07495117187,100.0,47.3852310180664,5.01012277603149,0.0,6.21625518798828,4.27,0.14518,25.99,,6.27811,1.06,0.36
0.0,0.305,,1185.37194824219,100.0,98.2091598510742,5.00000095367432,0.0,6.77895593643188,0.0,0.0,30.03,,0.3215,1.65,26.21
2.0,0.501,,1184.80200195312,100.0,82.2098388671875,5.00000095367432,0.0,6.80469608306885,0.0,0.0,30.02,,,,
4.0,1.55,,1185.29504394531,100.0,74.3537826538086,5.00000095367432,0.0,6.85026121139526,0.0,0.0,30.01,,0.0,7.74,20.01
6.0,4.59,,1185.05603027344,100.0,66.3794631958008,5.00000095367432,0.0,6.8022608757019,0.0,0.0,30.0,,,,
8.0,11.56,,1184.80395507812,100.0,57.8307189941406,5.00018310546875,0.0,6.71565198898315,0.0,0.0,30.0,,0.0,24.82,19.55
8.38,,,1185.10803222656,100.0,51.4107093811035,5.00000715255737,0.0,6.71530389785767,0.0,0.0,30.03,,,,
8.8,,,1185.07800292969,100.0,48.2682914733887,5.00000095367432,0.0,6.72052192687988,0.0,0.0,30.01,,,,
8.83,17.1,47.9999999999999,1184.77099609375,100.0,48.3189697265625,5.00000095367432,0.0,6.72226095199585,0.0,0.0,30.01,,0.0,20.22,17.92
10.0,26.9,60.0000000000001,1185.07495117187,100.0,61.0914001464844,5.00000095367432,0.0,6.71460914611816,8.83,0.30022,29.98,,0.0,0.87,18.38
12.0,36.3,88.0,1185.14099121094,99.9194030761719,39.2127113342285,5.00000095367432,0.0815773010253906,6.70278310775757,13.12,0.44608,30.01,,0.0,0.93,13.56
14.0,45.3,118.5,1184.91198730469,93.9694519042969,38.8917083740234,4.92008399963379,6.03361892700195,6.7062611579895,19.65,0.6681,30.01,,1.93532,3.07,12.6
16.0,52.1,152.0,1184.8349609375,78.2704162597656,36.5940208435059,5.06901693344116,21.7341194152832,6.73965215682983,17.9,0.6086,30.03,,4.3075,4.25,7.06
18.0,64.0,186.5,1184.80798339844,93.4997711181641,40.9866600036621,4.98841714859009,6.4989972114563,6.7062611579895,17.9,0.6086,29.99,,0.0,1.15,1.55
20.0,71.6,197.5,1185.69396972656,88.9896469116211,37.7597618103027,4.97419214248657,11.0046997070312,6.81513023376465,17.9,0.6086,30.01,,0.0,1.06,0.0
24.0,95.0,217.0,1184.92797851562,82.8803405761719,40.2770805358887,4.97714710235596,17.1195697784424,6.7660870552063,17.9,0.6086,29.95,,4.7078,2.9,0.0
28.0,95.4,220.5,1185.25500488281,87.6579971313477,40.141918182373,5.07145500183105,12.3420000076294,6.76504278182983,17.9,0.6086,30.01,,11.79471,2.8,0.0
32.0,104.6,224.5,1185.34399414062,91.9401168823242,40.2770805358887,4.99696397781372,8.05614471435547,6.72469615936279,12.5,0.425,30.0,,9.27313,1.75,0.0
36.0,108.8,212.0,1185.39794921875,93.8991928100586,40.6149711608887,4.96090984344482,6.10088300704956,6.71078300476074,12.5,0.425,30.0,,8.74359,1.38,0.0
40.0,111.0,205.0,1184.90100097656,94.5438537597656,40.6656494140625,4.99649381637573,5.45544815063477,6.73095703125,12.5,0.425,30.0,,9.12183,1.43,0.0
44.0,111.0,211.5,1185.083984375,95.4157333374023,39.8716011047363,4.9795970916748,4.63173723220825,6.71217393875122,12.5,0.425,29.72,,9.97287,1.5,0.0
48.0,111.8,199.0,1185.35900878906,96.3050384521484,39.6012916564941,4.91970205307007,3.69330596923828,6.70312976837158,12.5,0.425,30.0,,11.17062,1.67,0.0
0.0,0.267,,1185.30603027344,100.0,97.9108810424805,5.00000095367432,0.0,6.73723697662354,0.0,0.0,30.01,,0.33348,1.77,27.54
2.0,0.484,,1185.10900878906,100.0,83.7399520874023,5.00020790100098,0.0,6.83643913269043,0.0,0.0,30.04,,,,
4.0,1.57,,1185.20397949219,100.0,75.675666809082,5.00000095367432,0.0,6.8671441078186,0.0,0.0,30.01,,0.0,7.9,21.21
6.0,4.95,,1184.6689453125,100.0,64.0905838012695,5.00000095367432,0.0,6.78582620620728,0.0,0.0,30.01,,,,
8.0,12.16,,1185.17297363281,100.0,51.4536209106445,5.00000905990601,0.0,6.69944715499878,0.0,0.0,30.02,,0.0,25.03,21.05
8.38,,,1184.72705078125,100.0,43.8860511779785,5.00002384185791,0.0,6.73386287689209,0.0,0.0,30.01,,,,
8.8,,,1185.15905761719,100.0,41.5631790161133,5.00000095367432,0.0,6.72104120254517,0.0,0.0,29.97,,,,
